fecha,local,visita,competicion,registrado,pL,pE,pV,over25,btts,marcador,sin_pL,sin_pE,sin_pV,bajas_l,bajas_v,cuota_l,cuota_e,cuota_v,cuota_o25,cuota_u25,gl,gv,resultado
2026-09-13,Excelsior,Utrecht,N1,2026-09-13 10:31,0.3919525424266835,0.26518389786295,0.3428635597103665,0.5648547602512586,0.5915968243232729,1-1,0.3945799511100925,0.2629648189614728,0.3424552299284346,0.0,0.2177672955974842,2.21,3.6,2.86,1.59,2.25,,,
2026-09-13,Sheffield United,Wolves,E1,2026-09-13 10:31,0.2552743276325155,0.2748415979056276,0.4698840744618567,0.5610097280590721,0.5993059710462799,1-1,0.2547859722945518,0.275092445931226,0.4701215817742221,0.0534521158129175,0.0,3.16,3.52,2.12,1.7,2.07,,,
2026-09-13,Club Brugge,Antwerp,B1,2026-09-13 10:31,0.7710615640493955,0.1601235185039132,0.0688149174466912,0.7040200409964829,0.5749492845649645,2-0,0.7709840426839364,0.1601138109198466,0.0689021463962171,0.1658291457286432,0.0819000819000819,1.24,5.85,9.33,1.39,2.82,,,
2026-09-13,Heidenheim,Holstein Kiel,D2,2026-09-13 10:31,0.4193771754516611,0.2713600328859435,0.3092627916623953,0.6393495604675854,0.6243045585105186,1-1,0.4121844203324438,0.2714516350039949,0.3163639446635613,0.079155672823219,0.1342491414299094,2.08,3.7,2.98,1.48,2.51,,,
2026-09-13,Karlsruhe,Cottbus,D2,2026-09-13 10:31,0.5841881479729456,0.2151629040289579,0.2006489479980963,0.7039635369670582,0.6642620713520482,2-2,0.5845219530736102,0.2150429019076441,0.2004351450187456,0.0395979287237283,0.0896860986547085,1.66,4.21,4.12,1.36,2.96,,,
2026-09-13,Osnabruck,Hertha,D2,2026-09-13 10:31,0.3303826282787063,0.2633406954949308,0.406276676226363,0.6509511582410819,0.6305947746364347,1-1,0.3303826282787063,0.2633406954949308,0.406276676226363,0.0,0.0,3.02,3.63,2.09,1.54,2.34,,,
2026-09-13,Celta,Malaga,SP1,2026-09-13 10:31,0.576439390301418,0.2513883159828684,0.1721722937157137,0.4972518621299022,0.5296267722503412,1-1,0.5765428262030514,0.2513423424184035,0.1721148313785451,0.0,0.021680216802168,1.7,3.62,4.89,2.03,1.72,,,
2026-09-13,Sp Gijon,Eldense,SP2,2026-09-13 10:31,0.5370349035976187,0.2750645984625642,0.1879004979398169,0.4585983867059102,0.5015474528492778,1-0,0.5370349035976187,0.2750645984625642,0.1879004979398169,0.0,0.0,1.7,3.47,4.74,2.08,1.68,,,
2026-09-13,Heerenveen,Telstar,N1,2026-09-13 10:31,0.6114184475648591,0.2289256818432417,0.1596558705918991,0.672085741879301,0.6198181968794934,1-1,0.6087064202071653,0.2322692954274416,0.159024284365393,0.157644824311491,0.0,1.61,4.28,4.46,1.39,2.79,,,
2026-09-13,Coventry,Brighton,E0,2026-09-13 10:31,0.2023955015913388,0.2443152133667728,0.5532892850418883,0.555348552390658,0.5957135258960469,1-1,0.2025571126540322,0.2429362444940995,0.5545066428518681,0.0539265251095382,0.3115161557580779,3.91,3.73,1.85,1.72,2.03,,,
2026-09-13,Lille,Troyes,F1,2026-09-13 10:31,0.7251475917557696,0.1874365553889233,0.0874158528553072,0.5664112440550138,0.512523204692168,1-0,0.725248925151222,0.1874386218969088,0.0873124529518691,0.0745033112582781,0.1613704071499503,1.39,4.69,7.36,1.66,2.13,,,
2026-09-13,Lecce,Monza,I1,2026-09-13 10:31,0.3107570061152195,0.3345294633032697,0.3547135305815108,0.4013685415449487,0.5012565727634171,1-1,0.3114140927939227,0.3341734210089342,0.3544124861971431,0.1575757575757575,0.2416626389560174,2.6,3.09,2.78,2.21,1.63,,,
2026-09-13,RB Leipzig,Hamburg,D1,2026-09-13 10:31,0.7770362527967849,0.1531376186963559,0.0698261285068593,0.6968184920285976,0.5827144071169644,2-1,0.7764486432756683,0.1534867592952344,0.0700645974290971,0.122963418383031,0.1459424083769633,1.34,5.24,7.53,1.39,2.85,,,
2026-09-13,Genk,Gent,B1,2026-09-13 10:31,0.4544853387881335,0.2944336920477352,0.2510809691641311,0.5464160121997479,0.58299170771798,1-1,0.4545906368331172,0.2943830489400355,0.2510263142268472,0.0548223350253807,0.0698080279232111,1.98,3.4,3.48,1.77,1.96,,,
2026-09-13,Genclerbirligi,Kasimpasa,T1,2026-09-13 10:31,0.349088916888791,0.2959425672954041,0.3549685158158048,0.4910846610915922,0.5134932351067265,1-1,0.3462145462162736,0.2965683377486935,0.3572171160350329,0.097053726169844,0.1184573002754821,2.22,3.21,3.05,2.08,1.68,,,
2026-09-13,Levante,Barcelona,SP1,2026-09-13 10:31,0.0612368233875156,0.1192315068321298,0.8195316697803545,0.75117439962264,0.582101900173281,1-2,0.0614110026365796,0.1191210527288044,0.8194679446346158,0.0,0.0396825396825396,14.46,7.89,1.15,1.25,3.71,,,
2026-09-13,Valladolid,Oviedo,SP2,2026-09-13 10:31,0.4079137047689198,0.3085302752339389,0.2835560199971412,0.3634021805448957,0.4561794363865421,0-1,0.407351032598679,0.3088945936538922,0.2837543737474288,0.0491803278688524,0.0,2.34,2.93,3.13,2.54,1.47,,,
2026-09-13,Zwolle,Feyenoord,N1,2026-09-13 10:31,0.1173029554530169,0.1849214967573345,0.6977755477896485,0.725456492090009,0.6200509934365543,1-2,0.1144190231285466,0.1828221184774588,0.7027588583939947,0.2155854430379747,0.2135433967636311,5.98,4.91,1.42,1.33,3.11,,,
2026-09-13,Kalamata,Volos NFC,G1,2026-09-13 10:31,0.3762942614118995,0.3239669605830828,0.2997387780050175,0.4172105460815282,0.5150988825892562,1-1,0.3773607204810447,0.3234948995996043,0.2991443799193509,0.0,0.1614086573734409,2.45,3.02,2.81,2.34,1.54,,,
2026-09-13,Le Mans,Lens,F1,2026-09-13 10:31,0.1761524866132405,0.2297426725896558,0.5941048407971036,0.5854226122116535,0.5828805347027158,1-1,0.1587185278125812,0.2278884326441048,0.6133930395433139,0.0544464609800363,0.2199803149606299,4.77,4.02,1.64,1.63,2.18,,,
2026-09-13,Avellino,Palermo,I2,2026-09-13 10:31,0.2484193653387292,0.2764934225065034,0.4750872121547674,0.4990130826376895,0.5385698515099127,1-1,0.2499026542003755,0.283825932702164,0.4662714130974605,0.0871687587168758,0.0096006144393241,3.64,3.2,2.0,1.99,1.74,,,
2026-09-13,Mantova,Sampdoria,I2,2026-09-13 10:31,0.4500961876434816,0.3025408677962569,0.2473629445602614,0.432417078441298,0.5158962881767107,1-1,0.4520001404484409,0.3015964873306621,0.2464033722208969,0.0359066427289048,0.3041526374859708,2.01,3.19,3.62,2.08,1.68,,,
2026-09-13,Elversberg,Bayern Munich,D1,2026-09-13 10:31,0.0749514970464688,0.1178839257137153,0.8071645772398159,0.7772903080793826,0.5987711832754345,1-2,0.074881718076065,0.1179225666746571,0.8071957152492778,0.0292850990525409,0.0173076923076923,12.77,8.35,1.15,1.16,4.89,,,
2026-09-13,Man United,Man City,E0,2026-09-13 10:31,0.3091653458459231,0.2604287204752959,0.4304059336787809,0.6770441824316553,0.6530598595786966,1-1,0.3108557018263609,0.2615244827429306,0.4276198154307085,0.1352374770096289,0.0524475524475524,3.08,3.78,2.1,1.5,2.49,,,
